"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2021","4,704.8","4,685.7","4,705.9","4,659.9","","0.42%"
"11/23/2021","4,685.2","4,688.7","4,699.0","4,652.7","","-0.07%"
"11/22/2021","4,688.4","4,700.9","4,743.7","4,677.7","","-0.26%"
"11/21/2021","4,700.8","4,704.1","4,707.8","4,700.8","","-0.01%"
"11/19/2021","4,701.2","4,708.6","4,727.2","4,688.4","","-0.16%"
"11/18/2021","4,708.8","4,691.9","4,710.9","4,672.2","","0.36%"
"11/17/2021","4,692.0","4,702.9","4,704.9","4,684.4","","-0.24%"
"11/16/2021","4,703.3","4,685.4","4,715.0","4,675.9","","0.39%"
"11/15/2021","4,685.1","4,690.3","4,702.5","4,673.0","","-0.10%"
"11/14/2021","4,690.0","4,688.4","4,694.5","4,688.4","","0.07%"
"11/12/2021","4,686.8","4,656.4","4,690.5","4,649.7","","0.65%"
"11/11/2021","4,656.4","4,647.8","4,666.8","4,646.5","","0.20%"
"11/10/2021","4,647.3","4,677.8","4,686.1","4,631.0","","-0.65%"
"11/09/2021","4,677.7","4,696.1","4,707.2","4,670.6","","-0.39%"
"11/08/2021","4,695.8","4,691.0","4,714.2","4,683.7","","0.09%"
"11/07/2021","4,691.4","4,685.7","4,696.5","4,685.7","","-0.02%"
"11/05/2021","4,692.4","4,683.7","4,718.3","4,674.7","","0.18%"
"11/04/2021","4,683.9","4,666.5","4,684.2","4,658.2","","0.37%"
"11/03/2021","4,666.7","4,627.3","4,667.7","4,621.3","","0.86%"
"11/02/2021","4,627.0","4,611.5","4,635.1","4,601.5","","0.33%"
"11/01/2021","4,611.6","4,618.2","4,626.9","4,594.8","","-0.13%"
"10/31/2021","4,617.8","4,616.0","4,620.4","4,610.4","","0.19%"
"10/29/2021","4,609.1","4,583.0","4,610.6","4,567.5","","0.58%"
"10/28/2021","4,582.5","4,562.0","4,598.0","4,553.5","","0.45%"
"10/27/2021","4,561.8","4,577.6","4,584.6","4,552.5","","-0.35%"
"10/26/2021","4,578.0","4,576.3","4,598.4","4,569.3","","0.06%"
"10/25/2021","4,575.1","4,534.2","4,575.6","4,534.1","","0.91%"
"10/24/2021","4,534.0","4,538.0","4,540.6","4,531.0","","-0.09%"
"10/22/2021","4,538.1","4,538.8","4,559.7","4,524.1","","0.00%"
"10/21/2021","4,538.3","4,529.3","4,551.8","4,518.8","","0.21%"
"10/20/2021","4,529.0","4,525.4","4,540.8","4,513.4","","0.10%"
"10/19/2021","4,524.6","4,486.8","4,526.2","4,481.5","","0.84%"
"10/18/2021","4,486.8","4,461.8","4,488.8","4,445.1","","0.57%"
"10/17/2021","4,461.3","4,475.8","4,478.1","4,461.1","","-0.27%"
"10/15/2021","4,473.2","4,445.4","4,476.0","4,435.4","","0.63%"
"10/14/2021","4,445.4","4,371.1","4,447.1","4,371.1","","1.69%"
"10/13/2021","4,371.6","4,338.4","4,373.7","4,329.6","","0.78%"
"10/12/2021","4,337.8","4,358.2","4,374.7","4,327.6","","-0.46%"
"10/11/2021","4,357.7","4,366.2","4,416.0","4,351.7","","-0.23%"
"10/10/2021","4,367.7","4,391.2","4,396.7","4,362.4","","-0.50%"
"10/08/2021","4,389.6","4,408.8","4,416.6","4,385.8","","-0.45%"
"10/07/2021","4,409.6","4,374.4","4,430.3","4,372.1","","0.79%"
"10/06/2021","4,374.9","4,338.5","4,380.6","4,284.1","","0.84%"
"10/05/2021","4,338.3","4,303.7","4,369.5","4,279.7","","0.81%"
"10/04/2021","4,303.6","4,367.5","4,368.6","4,278.8","","-1.48%"
"10/03/2021","4,368.1","4,358.5","4,372.0","4,357.5","","0.15%"
"10/01/2021","4,361.4","4,315.5","4,375.5","4,270.8","","1.05%"
"09/30/2021","4,316.2","4,371.9","4,397.9","4,305.2","","-1.28%"
"09/29/2021","4,372.1","4,365.2","4,388.7","4,354.8","","0.15%"
"09/28/2021","4,365.5","4,440.3","4,451.8","4,346.3","","-1.68%"
"09/27/2021","4,440.1","4,462.9","4,482.4","4,435.8","","-0.51%"
"09/26/2021","4,462.7","4,457.3","4,464.4","4,456.3","","0.14%"
"09/24/2021","4,456.4","4,451.8","4,463.5","4,421.6","","0.10%"
"09/23/2021","4,451.8","4,403.3","4,465.6","4,401.8","","1.11%"
"09/22/2021","4,403.1","4,341.6","4,416.8","4,332.2","","1.40%"
"09/21/2021","4,342.1","4,366.9","4,406.4","4,341.6","","-0.57%"
"09/20/2021","4,366.9","4,427.6","4,428.9","4,305.6","","-1.36%"
"09/19/2021","4,426.9","4,422.9","4,427.4","4,415.6","","0.18%"
"09/17/2021","4,418.9","4,466.9","4,481.9","4,418.1","","-1.08%"
"09/16/2021","4,467.1","4,483.9","4,487.0","4,443.0","","-0.38%"
"09/15/2021","4,484.2","4,450.5","4,486.6","4,437.8","","0.75%"
"09/14/2021","4,450.7","4,475.3","4,488.8","4,435.3","","-0.56%"
"09/13/2021","4,475.6","4,476.0","4,493.8","4,445.8","","0.00%"
"09/12/2021","4,475.8","4,462.0","4,476.8","4,462.0","","0.31%"
"09/10/2021","4,462.1","4,492.4","4,519.1","4,457.7","","-0.66%"
"09/09/2021","4,491.9","4,509.1","4,529.9","4,487.3","","-0.36%"
"09/08/2021","4,508.3","4,515.8","4,525.5","4,493.8","","-0.17%"
"09/07/2021","4,515.8","4,540.6","4,542.4","4,512.9","","-0.55%"
"09/06/2021","4,540.7","4,529.4","4,549.4","4,525.4","","0.24%"
"09/05/2021","4,529.7","4,535.4","4,536.0","4,529.4","","-0.12%"
"09/03/2021","4,535.0","4,536.7","4,546.9","4,521.4","","-0.02%"
"09/02/2021","4,536.0","4,524.9","4,545.8","4,517.9","","0.24%"
"09/01/2021","4,525.2","4,530.8","4,542.0","4,522.1","","-0.11%"
"08/31/2021","4,530.3","4,529.8","4,544.6","4,516.2","","0.01%"
"08/30/2021","4,529.8","4,514.3","4,537.6","4,504.3","","0.34%"
"08/29/2021","4,514.3","4,511.1","4,516.5","4,509.4","","0.08%"
"08/27/2021","4,510.7","4,469.2","4,513.4","4,465.9","","0.92%"
"08/26/2021","4,469.7","4,496.3","4,496.6","4,468.2","","-0.59%"
"08/25/2021","4,496.1","4,485.4","4,502.1","4,480.4","","0.23%"
"08/24/2021","4,485.7","4,487.5","4,495.8","4,480.8","","-0.03%"
"08/23/2021","4,487.2","4,443.8","4,489.9","4,443.4","","0.97%"
"08/22/2021","4,444.0","4,439.1","4,446.3","4,437.6","","0.04%"
"08/20/2021","4,442.1","4,399.1","4,444.5","4,376.1","","0.99%"
"08/19/2021","4,398.6","4,396.0","4,418.6","4,352.5","","0.05%"
"08/18/2021","4,396.2","4,438.4","4,454.0","4,386.6","","-0.94%"
